datetime	wholeLakeTemp	lakeID
2011-05-25	9.96922955662864	EL
2011-06-01	11.4786267928847	EL
2011-06-08	15.2676458348643	EL
2011-06-15	12.9869197380851	EL
2011-06-29	13.0140610745431	EL
2011-07-06	14.449830546101	EL
2011-07-13	14.6867471051714	EL
2011-07-20	15.9016304595341	EL
2011-07-27	15.4624312100406	EL
2011-08-03	15.6553130030079	EL
2011-08-10	15.042803705689	EL
2011-08-17	16.0153867960785	EL
2011-09-21	12.0174572626724	EL
2012-05-16	12.466675886362	EL
2012-05-23	13.1074525478962	EL
2012-05-30	13.4564005072494	EL
2012-06-06	14.415394450201	EL
2012-06-13	14.783228758158	EL
2012-06-20	15.5603484886478	EL
2012-06-27	16.0844301172347	EL
2012-07-04	18.2465366721903	EL
2012-07-11	17.7472757679329	EL
2012-07-18	17.5827628128321	EL
2012-07-25	18.1429697200558	EL
2012-08-01	17.896143670728	EL
2012-08-08	17.1418163607771	EL
2012-08-15	16.4062664124913	EL
2012-09-16	14.2946924169311	EL
2011-05-25	10.5269102460865	WL
2011-06-01	10.8473029212706	WL
2011-06-08	13.8046916054861	WL
2011-06-15	13.3828145735029	WL
2011-06-29	13.1707815423735	WL
2011-07-06	15.0529017510586	WL
2011-07-13	15.2597854532397	WL
2011-07-20	16.4713502122942	WL
2011-07-27	16.0289872099682	WL
2011-08-03	16.0828240623618	WL
2011-08-10	15.8154258818436	WL
2011-08-17	16.4347452267927	WL
2011-09-21	12.4668316828559	WL
2012-05-16	12.7288310259497	WL
2012-05-23	13.5014162517477	WL
2012-05-30	14.1172387887121	WL
2012-06-06	14.805700186896	WL
2012-06-13	15.2601634698263	WL
2012-06-20	16.2774577196038	WL
2012-06-27	16.6931266716948	WL
2012-07-04	19.0999117572429	WL
2012-07-11	18.3344201344974	WL
2012-07-18	18.550811561233	WL
2012-07-25	19.132842125944	WL
2012-08-01	18.55310569151	WL
2012-08-08	17.9652534493263	WL
2012-08-15	17.1432938771122	WL
2012-09-16	14.8325270796099	WL
2013-05-15	7.21672586223757	EL
2013-05-22	9.54612185287109	EL
2013-05-29	10.1329190787786	EL
2013-06-05	10.4565407735923	EL
2013-06-12	11.8674993996897	EL
2013-06-19	12.4811288050587	EL
2013-06-26	14.2837988987254	EL
2013-07-03	13.7858220758299	EL
2013-07-10	14.7008352625482	EL
2013-07-17	16.2003630535069	EL
2013-07-25	14.6034998840394	EL
2013-07-31	13.2978548995024	EL
2013-08-06	14.311263650893	EL
2013-08-14	13.46777721933	EL
2013-09-14	13.2876025576086	EL
2014-05-14	7.58972441756229	EL
2014-05-21	8.89778359792368	EL
2014-05-28	10.7196296238657	EL
2014-06-04	11.6742829376108	EL
2014-06-11	11.8998359301335	EL
2014-06-18	12.6334531223826	EL
2014-06-25	13.0060427557651	EL
2014-07-02	13.517751208852	EL
2014-07-09	13.6644368079746	EL
2014-07-16	13.0527350364563	EL
2014-07-23	14.9329912714521	EL
2014-07-30	14.1302602677177	EL
2014-08-06	14.5598785005743	EL
2014-08-12	14.4022378757731	EL
2014-08-20	14.1594985914402	EL
2014-09-26	12.2575383427106	EL
2013-05-15	6.97333342226862	WL
2013-05-22	10.5854572883846	WL
2013-05-29	11.0168747362319	WL
2013-06-05	11.5590788402853	WL
2013-06-12	12.8503378195929	WL
2013-06-19	13.4925776637702	WL
2013-06-26	15.4992492064319	WL
2013-07-03	15.1342844402854	WL
2013-07-10	16.1081497040709	WL
2013-07-17	17.3188431544183	WL
2013-07-25	15.4031677528942	WL
2013-07-31	14.1117488125723	WL
2013-08-06	14.9280669465264	WL
2013-08-14	14.4922993423605	WL
2013-09-14	14.5668085537745	WL
2014-05-14	7.50080035514221	WL
2014-05-21	8.74259492565984	WL
2014-05-28	11.5299819338292	WL
2014-06-04	12.2169521023971	WL
2014-06-11	12.9847672296539	WL
2014-06-18	13.713278245833	WL
2014-06-25	14.3248284340834	WL
2014-07-02	14.6168621253826	WL
2014-07-09	14.9173027944808	WL
2014-07-16	14.2160246339865	WL
2014-07-23	15.8832387093825	WL
2014-07-30	15.5122136097575	WL
2014-08-06	16.1234795174403	WL
2014-08-12	16.0491271559068	WL
2014-08-20	15.6063304339528	WL
2014-09-26	13.0980809797136	WL
