datetime	kd	lakeID
2011-05-25	1.63192683412383	EL
2011-06-01	2.14923999026954	EL
2011-06-08	2.1210387937874	EL
2011-06-15	1.28148776209588	EL
2011-06-29	2.74645980955776	EL
2011-07-06	1.72504450507814	EL
2011-07-13	1.57021403479838	EL
2011-07-20	1.19050216311712	EL
2011-07-27	2.95074787725464	EL
2011-08-03	1.34652306542294	EL
2011-08-10	2.00523214586683	EL
2011-08-17	1.57975942319293	EL
2011-09-21	1.54932449559787	EL
2012-05-16	2.60735238860769	EL
2012-05-23	1.92688202679021	EL
2012-05-30	2.02118683923592	EL
2012-06-06	1.46828810426679	EL
2012-06-13	1.69548947741296	EL
2012-06-20	1.58090070700216	EL
2012-06-27	1.74221461314785	EL
2012-07-04	1.70520908261446	EL
2012-07-11	1.71910080799836	EL
2012-07-18	2.2109291124715	EL
2012-07-25	1.91548247350536	EL
2012-08-01	1.41248424593083	EL
2012-08-08	1.99091944052807	EL
2012-08-15	1.33401321840718	EL
2011-05-25	1.69288736069891	WL
2011-06-01	1.64257077234152	WL
2011-06-08	2.05425539037678	WL
2011-06-15	1.46061933436565	WL
2011-06-29	1.57911704226523	WL
2011-07-06	1.64781900646888	WL
2011-07-13	1.62356827240684	WL
2011-07-20	1.90393686671008	WL
2011-07-27	2.04353493549171	WL
2011-08-03	1.69449565380048	WL
2011-08-10	1.802258295896	WL
2011-08-17	1.65205509015092	WL
2011-09-21	1.51707149595398	WL
2012-05-16	1.42865000221371	WL
2012-05-23	1.62389727273943	WL
2012-05-30	1.93237315853799	WL
2012-06-06	1.49328466482258	WL
2012-06-13	1.50667405881013	WL
2012-06-20	1.38622671267226	WL
2012-07-04	1.27750868241914	WL
2012-07-11	1.54637550088206	WL
2012-07-18	2.37116572514271	WL
2012-07-25	1.52469274399127	WL
2012-08-01	1.20341452677833	WL
2012-08-08	2.00536547389277	WL
2012-08-15	1.24245470526212	WL
2012-06-27	1.55150399726932	WL
2013-05-15	2.15574613951275	EL
2013-06-19	2.40507333551019	EL
2013-06-12	2.13554866954808	EL
2013-06-05	3.03278126715741	EL
2013-05-29	1.54420237484601	EL
2013-05-22	1.93362411564652	EL
2013-06-26	2.62211013422038	EL
2013-07-03	3.06238563315171	EL
2013-07-10	3.49054220774155	EL
2013-07-17	3.85753366574307	EL
2013-08-06	3.39421676328346	EL
2013-08-14	3.44813044705767	EL
2013-07-31	3.25006128423698	EL
2013-07-25	4.6962759763067	EL
2013-09-14	2.76126156349843	EL
2014-05-14	4.67951487244647	EL
2014-05-21	6.3317881310986	EL
2014-05-28	2.58106974680946	EL
2014-06-04	2.62560411074151	EL
2014-06-11	2.40845387354437	EL
2014-06-18	2.51804239072505	EL
2014-06-25	2.65746561993141	EL
2014-07-02	2.07122067252563	EL
2014-07-09	2.27257135470483	EL
2014-07-16	2.02901590319078	EL
2014-07-23	2.87626645817845	EL
2014-07-30	2.65665992950031	EL
2014-08-12	2.01098592551648	EL
2014-08-20	2.28815636063081	EL
2014-09-26	1.94846440602572	EL
2013-05-15	1.50326958756583	WL
2013-05-22	1.54814179606128	WL
2013-06-05	1.72617631599219	WL
2013-06-19	1.42424324243423	WL
2013-06-12	1.54781238156701	WL
2013-05-29	0.965408017895595	WL
2013-06-26	1.3070131298656	WL
2013-07-03	1.72615717394253	WL
2013-07-10	2.19801700953159	WL
2013-07-17	1.72396164437849	WL
2013-08-06	1.2657534380146	WL
2013-08-14	2.05092416567985	WL
2013-07-31	1.91363347076202	WL
2013-07-25	1.56149517755884	WL
2013-09-14	2.61836646925751	WL
2014-05-14	1.38788625740417	WL
2014-05-21	2.43637514977123	WL
2014-05-28	1.37260374493116	WL
2014-06-04	1.42733887705716	WL
2014-06-11	1.25920646489789	WL
2014-06-18	1.4000032369565	WL
2014-06-25	1.38733437149465	WL
2014-07-02	1.80889894971356	WL
2014-07-09	1.44622449498959	WL
2014-07-16	1.37086459999363	WL
2014-07-23	1.33265323921041	WL
2014-07-30	1.52179959309356	WL
2014-08-12	2.15158109944318	WL
2014-08-20	1.76533730538194	WL
2014-09-26	1.48224093847215	WL
