datetime	lightClimate	lakeID
2011-07-13	531.371404083474	EL
2011-07-14	122.679250202075	EL
2011-07-15	196.844535551044	EL
2011-07-16	363.812201375891	EL
2011-07-17	246.632076683227	EL
2011-07-18	357.295344511582	EL
2011-07-19	374.888090807847	EL
2011-07-20	509.287482542532	EL
2011-07-21	496.09321800053	EL
2011-07-22	440.502705609353	EL
2011-07-23	244.647171245429	EL
2011-07-24	315.252726068863	EL
2011-07-25	331.827281155582	EL
2011-07-26	347.456569250468	EL
2011-07-27	66.469700391115	EL
2011-07-28	259.429562449177	EL
2011-07-29	12.3169654372027	EL
2012-05-30	312.360811400417	EL
2012-05-31	616.440059419637	EL
2012-06-01	6.70508588743888	EL
2012-06-06	1113.15118670328	EL
2012-06-07	524.006595284842	EL
2012-06-08	325.200195522508	EL
2012-06-09	650.136063886279	EL
2012-06-10	627.67866010217	EL
2012-06-11	553.447801017567	EL
2012-06-12	544.918819758699	EL
2012-06-27	1061.31208830254	EL
2012-06-28	498.897907094107	EL
2012-06-29	662.208328503133	EL
2012-06-30	614.319055299344	EL
2012-07-01	657.069954779881	EL
2012-07-02	575.70280655648	EL
2012-07-03	593.983198291543	EL
2012-07-04	501.418624318203	EL
2012-07-05	575.473292714858	EL
2012-07-06	384.658383091592	EL
2012-07-07	599.599314271958	EL
2012-07-08	592.822498719119	EL
2012-07-09	581.397844253812	EL
2012-07-10	574.131027096281	EL
2012-07-11	614.41902773857	EL
2012-07-12	572.444332756191	EL
2012-07-13	556.959033486061	EL
2012-07-14	431.537621652246	EL
2012-07-15	541.761213211329	EL
2012-07-16	461.287022719142	EL
2012-07-17	221.649036754466	EL
2012-07-18	5.98879141908712	EL
2011-07-13	331.371511186396	WL
2011-07-14	142.062012770498	WL
2011-07-15	219.468955308132	WL
2011-07-16	397.018120649489	WL
2011-07-17	324.992483720064	WL
2011-07-18	351.459817842743	WL
2011-07-19	326.187981366994	WL
2011-07-20	449.846572260276	WL
2011-07-21	424.007865785501	WL
2011-07-22	417.542540301582	WL
2011-07-23	214.800708540903	WL
2011-07-24	327.715810267844	WL
2011-07-25	353.958964937879	WL
2011-07-26	422.066148055506	WL
2011-07-27	66.4883157250788	WL
2011-07-28	305.362519670384	WL
2011-07-29	375.004933099129	WL
2012-05-30	130.580485718031	WL
2012-05-31	620.993371967617	WL
2012-06-01	632.601623823938	WL
2012-06-06	605.089755166151	WL
2012-06-07	521.188683233239	WL
2012-06-08	330.801556189436	WL
2012-06-09	651.229874655453	WL
2012-06-10	636.715277996025	WL
2012-06-11	559.661164868911	WL
2012-06-12	564.066095312845	WL
2012-06-27	619.929188512763	WL
2012-06-28	501.282271091178	WL
2012-06-29	669.964397895594	WL
2012-06-30	619.678810051098	WL
2012-07-01	668.641322519064	WL
2012-07-02	577.778721367577	WL
2012-07-03	610.024814408205	WL
2012-07-04	512.783488992048	WL
2012-07-05	586.560658140509	WL
2012-07-06	395.046228081797	WL
2012-07-07	593.192906431858	WL
2012-07-08	617.368962496953	WL
2012-07-09	581.0470955299	WL
2012-07-10	573.836538692401	WL
2012-07-11	629.599359660052	WL
2012-07-12	569.417483489435	WL
2012-07-13	556.379557429884	WL
2012-07-14	427.451756386214	WL
2012-07-15	549.73985956884	WL
2012-07-16	457.985531587113	WL
2012-07-17	192.474402828454	WL
2012-07-18	309.836172050639	WL
2013-05-22	151.993358543585	EL
2013-05-23	534.685864696827	EL
2013-05-24	574.724489741538	EL
2013-05-25	566.787540574247	EL
2013-05-26	584.346544300758	EL
2013-05-27	478.855659280498	EL
2013-05-28	201.320474516732	EL
2013-05-29	490.542275868855	EL
2013-05-30	385.341616551436	EL
2013-05-31	462.727060935594	EL
2013-06-01	195.588013503798	EL
2013-06-02	473.647966674751	EL
2013-06-03	586.46288563243	EL
2013-06-04	261.504398131175	EL
2013-06-05	72.7019594619004	EL
2013-06-06	101.628420359304	EL
2013-06-07	358.315072517438	EL
2013-06-08	444.161785444383	EL
2013-06-09	209.878239910241	EL
2013-06-10	429.373751484392	EL
2013-06-11	534.288123710459	EL
2013-06-12	544.190463552571	EL
2013-06-13	508.859303939503	EL
2013-06-14	577.709670453112	EL
2013-06-15	135.634611427054	EL
2013-06-16	475.061531518654	EL
2013-06-17	433.286259633171	EL
2013-06-18	622.146170473686	EL
2013-06-19	539.202446291647	EL
2013-06-20	217.57819723309	EL
2013-06-21	113.715994396668	EL
2013-06-22	212.082702637102	EL
2013-06-23	481.276452410649	EL
2013-06-24	559.189455090361	EL
2013-06-25	578.002036847065	EL
2013-06-26	369.074248840905	EL
2013-06-27	362.268203633311	EL
2013-06-28	232.957140292118	EL
2013-06-29	366.948697484122	EL
2013-06-30	593.353794421164	EL
2013-07-01	603.521285433085	EL
2013-07-02	577.662058336919	EL
2013-07-03	611.994610197572	EL
2013-07-04	534.762869739216	EL
2013-07-05	558.242837415501	EL
2013-07-06	489.69357240688	EL
2013-07-07	397.52090300825	EL
2013-07-08	522.518206275703	EL
2013-07-09	166.30190958011	EL
2013-07-10	370.835290637931	EL
2013-07-11	587.574017331653	EL
2013-07-12	558.385310818989	EL
2013-07-13	490.714654956324	EL
2013-07-14	487.688545082686	EL
2013-07-15	506.891117974753	EL
2013-07-16	489.199327726484	EL
2013-07-17	509.62866463151	EL
2013-07-18	462.052137489686	EL
2013-07-19	474.374367362808	EL
2013-07-20	557.295588785469	EL
2013-07-21	455.329659631096	EL
2013-07-22	292.542446619746	EL
2013-07-23	442.616546414596	EL
2013-07-24	248.833698946268	EL
2013-07-25	330.519766689893	EL
